CÓDIGO_ALUNO,CLASS_x,ACTIVITY NAME,TYPE,STARTED,SKILL,DATA GMT,DATA HORARIO,YEAR,MONTH,DAY,CLASS_y,ACTIVITIES,BADGES,IN CLASS,POINTS,SPEAKING TASKS,SPEAKING SKILL,SPEAKING TOTAL,QUIZZES,QUIZZES SKILL,RATINGS,FEEDBACKS,LEVEL,GRADE,GRADE_NUM,LEVEL_NUM
aluno33,oany5,Jobs,Vocabulary Quiz,2019-06-06 04:22 GMT-3,1,GMT-3,04:22,2019,06,06,oany5,139,2,0,11254,87,0,00:11:16,52,0.86,20,18,A2,9º ano,4,4
aluno1,6ve7m,Sports areas,Vocabulary Quiz,2019-06-06 02:57 GMT-3,0.83,GMT-3,02:57,2019,06,06,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno1,6ve7m,Professional athletes,Vocabulary Quiz,2019-06-06 02:52 GMT-3,0.83,GMT-3,02:52,2019,06,06,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno1,6ve7m,Types of sport,Vocabulary Quiz,2019-06-06 02:49 GMT-3,0.83,GMT-3,02:49,2019,06,06,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno1,6ve7m,Literature in School,Vocabulary Quiz,2019-06-06 01:30 GMT-3,0.83,GMT-3,01:30,2019,06,06,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno1,6ve7m,Reporters 2,Vocabulary Quiz,2019-06-06 01:26 GMT-3,1,GMT-3,01:26,2019,06,06,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno1,6ve7m,Verbs-Sports,Vocabulary Quiz,2019-06-06 01:21 GMT-3,0.83,GMT-3,01:21,2019,06,06,6ve7m,567,40,0,100997,348,0,01:09:32,216,0.8,72,219,A1,9º ano,4,3
aluno2,6ve7m,Verbs-Computers,Vocabulary Quiz,2019-06-06 01:18 GMT-3,1,GMT-3,01:18,2019,06,06,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,School + Technology,Vocabulary Quiz,2019-06-06 01:14 GMT-3,1,GMT-3,01:14,2019,06,06,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Describing Technology,Vocabulary Quiz,2019-06-06 01:12 GMT-3,1,GMT-3,01:12,2019,06,06,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Describing Technology,Vocabulary Quiz,2019-06-06 01:10 GMT-3,0.83,GMT-3,01:10,2019,06,06,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
aluno2,6ve7m,Communication,Vocabulary Quiz,2019-06-06 01:06 GMT-3,1,GMT-3,01:06,2019,06,06,6ve7m,579,43,0,93219,348,0,00:58:27,228,0.97,105,180,A1,9º ano,4,3
